time,gFx,gFy,gFz
2025-11-18 20:29:50.5230,-0.15,-0.508,-0.828,0.983
2025-11-18 20:29:50.5240,-0.15,-0.508,-0.828,0.983
2025-11-18 20:29:50.5310,-0.16,-0.508,-0.828,0.985
2025-11-18 20:29:50.5380,-0.191,-0.502,-0.826,0.985
2025-11-18 20:29:50.5520,-0.22,-0.505,-0.842,1.006
2025-11-18 20:29:50.5590,-0.229,-0.501,-0.852,1.015
2025-11-18 20:29:50.5680,-0.249,-0.493,-0.85,1.014
2025-11-18 20:29:50.5790,-0.256,-0.497,-0.856,1.022
2025-11-18 20:29:50.5880,-0.231,-0.494,-0.851,1.011
2025-11-18 20:29:50.5990,-0.219,-0.489,-0.832,0.99
2025-11-18 20:29:50.6120,-0.249,-0.52,-0.852,1.029
2025-11-18 20:29:50.6190,-0.25,-0.528,-0.871,1.049
2025-11-18 20:29:50.6350,-0.244,-0.506,-0.83,1.002
2025-11-18 20:29:50.6390,-0.377,-0.608,-0.741,1.03
2025-11-18 20:29:50.6560,-0.437,-0.647,-0.703,1.051
2025-11-18 20:29:50.6600,-0.411,-0.647,-0.711,1.045
2025-11-18 20:29:50.6690,-0.292,-0.59,-0.68,0.946
2025-11-18 20:29:50.6790,-0.236,-0.573,-0.543,0.824
2025-11-18 20:29:50.6890,-0.202,-0.592,-0.593,0.862
2025-11-18 20:29:50.7000,-0.17,-0.56,-0.682,0.899
2025-11-18 20:29:50.7120,-0.136,-0.488,-0.68,0.848
2025-11-18 20:29:50.7200,-0.088,-0.425,-0.711,0.833
2025-11-18 20:29:50.7350,-0.025,-0.365,-0.773,0.855
2025-11-18 20:29:50.7390,0.018,-0.305,-0.837,0.891
2025-11-18 20:29:50.7550,0.06,-0.251,-0.908,0.944
2025-11-18 20:29:50.7600,0.105,-0.205,-0.971,0.998
2025-11-18 20:29:50.7700,0.147,-0.166,-1.029,1.053
2025-11-18 20:29:50.7800,0.181,-0.147,-1.076,1.101
2025-11-18 20:29:50.7900,0.201,-0.118,-1.095,1.12
2025-11-18 20:29:50.8000,0.181,-0.105,-1.134,1.153
2025-11-18 20:29:50.8120,0.17,-0.11,-1.164,1.181
2025-11-18 20:29:50.8200,0.15,-0.109,-1.159,1.174
2025-11-18 20:29:50.8350,0.146,-0.139,-1.142,1.16
2025-11-18 20:29:50.8400,0.169,-0.18,-1.111,1.138
2025-11-18 20:29:50.8560,0.197,-0.204,-1.067,1.104
2025-11-18 20:29:50.8610,0.217,-0.223,-1.043,1.088
