time,gFx,gFy,gFz
2025-11-18 20:20:36.6390,0.172,-0.455,-0.898,1.021
2025-11-18 20:20:36.6390,0.172,-0.455,-0.898,1.021
2025-11-18 20:20:36.6400,0.175,-0.443,-0.927,1.042
2025-11-18 20:20:36.6500,0.179,-0.433,-0.951,1.06
2025-11-18 20:20:36.6600,0.171,-0.428,-0.955,1.06
2025-11-18 20:20:36.6730,0.157,-0.432,-0.932,1.039
2025-11-18 20:20:36.6800,0.143,-0.441,-0.892,1.005
2025-11-18 20:20:36.7020,0.15,-0.458,-0.844,0.972
2025-11-18 20:20:36.7030,0.15,-0.458,-0.844,0.972
2025-11-18 20:20:36.7100,0.153,-0.462,-0.841,0.972
2025-11-18 20:20:36.7210,0.151,-0.461,-0.849,0.978
2025-11-18 20:20:36.7300,0.143,-0.457,-0.858,0.983
2025-11-18 20:20:36.7400,0.134,-0.456,-0.866,0.988
2025-11-18 20:20:36.7500,0.128,-0.453,-0.875,0.994
2025-11-18 20:20:36.7600,0.127,-0.448,-0.884,0.999
2025-11-18 20:20:36.7740,0.131,-0.449,-0.889,1.005
2025-11-18 20:20:36.7800,0.137,-0.448,-0.887,1.003
2025-11-18 20:20:36.8020,0.144,-0.447,-0.881,0.998
2025-11-18 20:20:36.8030,0.144,-0.447,-0.881,0.998
2025-11-18 20:20:36.8110,0.151,-0.448,-0.882,1.001
2025-11-18 20:20:36.8210,0.153,-0.448,-0.88,0.999
2025-11-18 20:20:36.8310,0.15,-0.446,-0.884,1.001
2025-11-18 20:20:36.8410,0.148,-0.444,-0.891,1.006
2025-11-18 20:20:36.8510,0.152,-0.44,-0.896,1.01
2025-11-18 20:20:36.8610,0.153,-0.439,-0.905,1.017
2025-11-18 20:20:36.8770,0.154,-0.431,-0.912,1.02
2025-11-18 20:20:36.8810,0.159,-0.431,-0.913,1.022
2025-11-18 20:20:36.9040,0.16,-0.43,-0.891,1.002
2025-11-18 20:20:36.9040,0.16,-0.43,-0.891,1.002
2025-11-18 20:20:36.9110,0.157,-0.433,-0.881,0.994
2025-11-18 20:20:36.9240,0.15,-0.436,-0.865,0.98
2025-11-18 20:20:36.9310,0.132,-0.444,-0.852,0.97
2025-11-18 20:20:36.9410,0.12,-0.445,-0.839,0.957
2025-11-18 20:20:36.9510,0.105,-0.432,-0.835,0.946
2025-11-18 20:20:36.9610,0.1,-0.421,-0.84,0.945
2025-11-18 20:20:36.9760,0.102,-0.403,-0.836,0.934
2025-11-18 20:20:36.9820,0.086,-0.413,-0.835,0.936
2025-11-18 20:20:37.0060,0.076,-0.41,-0.852,0.949
2025-11-18 20:20:37.0070,0.076,-0.41,-0.852,0.949
2025-11-18 20:20:37.0110,0.048,-0.39,-0.851,0.937
2025-11-18 20:20:37.0250,0.013,-0.376,-0.848,0.928
2025-11-18 20:20:37.0320,-0.025,-0.363,-0.842,0.917
2025-11-18 20:20:37.0420,-0.041,-0.353,-0.834,0.907
2025-11-18 20:20:37.0520,-0.031,-0.328,-0.826,0.889
2025-11-18 20:20:37.0620,-0.039,-0.329,-0.802,0.868
2025-11-18 20:20:37.0780,-0.026,-0.315,-0.757,0.82
2025-11-18 20:20:37.0820,0.109,-0.3,-0.784,0.846
2025-11-18 20:20:37.1060,0.14,-0.382,-0.889,0.978
2025-11-18 20:20:37.1070,0.14,-0.382,-0.889,0.978
2025-11-18 20:20:37.1120,0.097,-0.347,-0.895,0.965
2025-11-18 20:20:37.1250,0.066,-0.314,-0.934,0.988
2025-11-18 20:20:37.1320,0.052,-0.311,-0.952,1.003
2025-11-18 20:20:37.1420,0.043,-0.313,-0.971,1.021
2025-11-18 20:20:37.1520,0.026,-0.312,-0.984,1.033
2025-11-18 20:20:37.1630,0.032,-0.306,-0.99,1.037
2025-11-18 20:20:37.1790,0.053,-0.325,-0.984,1.038
2025-11-18 20:20:37.1830,0.037,-0.329,-0.972,1.027
2025-11-18 20:20:37.2070,0.056,-0.311,-0.994,1.043
2025-11-18 20:20:37.2070,0.056,-0.311,-0.994,1.043
2025-11-18 20:20:37.2120,0.095,-0.323,-0.991,1.047
2025-11-18 20:20:37.2260,0.12,-0.333,-0.98,1.042
2025-11-18 20:20:37.2320,0.125,-0.355,-0.942,1.014
2025-11-18 20:20:37.2430,0.113,-0.381,-0.917,0.999
2025-11-18 20:20:37.2530,0.093,-0.349,-0.937,1.004
2025-11-18 20:20:37.2630,0.112,-0.338,-0.956,1.02
2025-11-18 20:20:37.2790,0.128,-0.392,-1.006,1.087
2025-11-18 20:20:37.2830,0.103,-0.386,-1.037,1.111
2025-11-18 20:20:37.3070,0.055,-0.295,-1.022,1.065
2025-11-18 20:20:37.3070,0.055,-0.295,-1.022,1.065
2025-11-18 20:20:37.3130,0.056,-0.31,-1.022,1.069
2025-11-18 20:20:37.3260,0.042,-0.318,-1.014,1.064
2025-11-18 20:20:37.3330,0.043,-0.291,-1.008,1.05
2025-11-18 20:20:37.3430,0.01,-0.283,-0.999,1.038
2025-11-18 20:20:37.3530,0.015,-0.249,-0.976,1.007
2025-11-18 20:20:37.3630,0.019,-0.262,-0.95,0.986
2025-11-18 20:20:37.3790,-0.005,-0.318,-0.952,1.004
2025-11-18 20:20:37.3830,0.0,-0.326,-0.975,1.028
2025-11-18 20:20:37.4070,0.064,-0.282,-1.045,1.084
2025-11-18 20:20:37.4070,0.064,-0.282,-1.045,1.084
2025-11-18 20:20:37.4130,0.109,-0.291,-1.078,1.122
2025-11-18 20:20:37.4260,0.147,-0.32,-1.088,1.144
2025-11-18 20:20:37.4330,0.166,-0.361,-1.057,1.129
2025-11-18 20:20:37.4440,0.185,-0.364,-1.001,1.081
2025-11-18 20:20:37.4530,0.2,-0.387,-0.97,1.063
2025-11-18 20:20:37.4640,0.203,-0.425,-0.968,1.077
2025-11-18 20:20:37.4790,0.212,-0.446,-0.959,1.079
2025-11-18 20:20:37.4840,0.221,-0.45,-0.956,1.079
2025-11-18 20:20:37.5070,0.246,-0.432,-0.943,1.066
2025-11-18 20:20:37.5070,0.246,-0.432,-0.943,1.066
2025-11-18 20:20:37.5130,0.233,-0.418,-0.977,1.088
2025-11-18 20:20:37.5260,0.211,-0.4,-1.008,1.105
2025-11-18 20:20:37.5340,0.198,-0.389,-1.027,1.116
2025-11-18 20:20:37.5440,0.195,-0.373,-1.025,1.108
2025-11-18 20:20:37.5540,0.204,-0.364,-1.01,1.093
2025-11-18 20:20:37.5640,0.212,-0.349,-0.988,1.069
2025-11-18 20:20:37.5800,0.221,-0.348,-0.958,1.043
2025-11-18 20:20:37.5840,0.24,-0.349,-0.922,1.015
2025-11-18 20:20:37.6050,0.254,-0.344,-0.882,0.98
2025-11-18 20:20:37.6050,0.254,-0.344,-0.882,0.98
2025-11-18 20:20:37.6140,0.246,-0.336,-0.884,0.977
2025-11-18 20:20:37.6260,0.238,-0.325,-0.872,0.961
2025-11-18 20:20:37.6340,0.234,-0.334,-0.886,0.975
2025-11-18 20:20:37.6440,0.245,-0.328,-0.88,0.971
2025-11-18 20:20:37.6540,0.234,-0.333,-0.87,0.96
2025-11-18 20:20:37.6650,0.246,-0.348,-0.883,0.98
2025-11-18 20:20:37.6780,0.259,-0.351,-0.883,0.985
2025-11-18 20:20:37.6850,0.253,-0.355,-0.86,0.964
2025-11-18 20:20:37.7090,0.219,-0.367,-0.84,0.942
2025-11-18 20:20:37.7090,0.219,-0.367,-0.84,0.942
2025-11-18 20:20:37.7140,0.2,-0.367,-0.861,0.957
2025-11-18 20:20:37.7260,0.194,-0.359,-0.893,0.982
2025-11-18 20:20:37.7350,0.191,-0.353,-0.923,1.006
2025-11-18 20:20:37.7450,0.178,-0.343,-0.945,1.021
2025-11-18 20:20:37.7550,0.167,-0.339,-0.95,1.022
2025-11-18 20:20:37.7650,0.158,-0.342,-0.937,1.01
2025-11-18 20:20:37.7790,0.161,-0.336,-0.906,0.98
2025-11-18 20:20:37.7850,0.194,-0.321,-0.862,0.94
2025-11-18 20:20:37.8060,0.197,-0.283,-0.808,0.878
2025-11-18 20:20:37.8060,0.197,-0.283,-0.808,0.878
2025-11-18 20:20:37.8150,0.096,-0.376,-0.799,0.888
2025-11-18 20:20:37.8270,0.029,-0.347,-0.814,0.885
2025-11-18 20:20:37.8350,0.013,-0.368,-0.874,0.948
2025-11-18 20:20:37.8450,-0.021,-0.421,-0.952,1.041
2025-11-18 20:20:37.8550,-0.019,-0.474,-0.967,1.077
2025-11-18 20:20:37.8660,0.002,-0.509,-0.962,1.088
2025-11-18 20:20:37.8790,0.047,-0.489,-0.979,1.095
2025-11-18 20:20:37.8850,0.153,-0.362,-0.952,1.03
2025-11-18 20:20:37.9070,0.187,-0.408,-0.95,1.051
2025-11-18 20:20:37.9070,0.187,-0.408,-0.95,1.051
2025-11-18 20:20:37.9150,0.22,-0.409,-0.954,1.061
2025-11-18 20:20:37.9280,0.264,-0.418,-0.96,1.08
2025-11-18 20:20:37.9360,0.294,-0.427,-0.992,1.119
2025-11-18 20:20:37.9470,0.306,-0.427,-1.025,1.152
2025-11-18 20:20:37.9560,0.299,-0.429,-1.027,1.152
2025-11-18 20:20:37.9650,0.268,-0.433,-0.999,1.121
2025-11-18 20:20:37.9770,0.238,-0.44,-0.952,1.075
2025-11-18 20:20:37.9870,0.21,-0.45,-0.903,1.031
2025-11-18 20:20:38.0020,0.187,-0.462,-0.87,1.003
2025-11-18 20:20:38.0060,0.172,-0.468,-0.85,0.985
2025-11-18 20:20:38.0160,0.158,-0.472,-0.828,0.966
2025-11-18 20:20:38.0260,0.141,-0.48,-0.831,0.97
2025-11-18 20:20:38.0360,0.129,-0.474,-0.843,0.976
2025-11-18 20:20:38.0460,0.128,-0.465,-0.848,0.976
2025-11-18 20:20:38.0570,0.126,-0.456,-0.855,0.977
2025-11-18 20:20:38.0670,0.111,-0.448,-0.861,0.977
2025-11-18 20:20:38.0800,0.096,-0.439,-0.869,0.978
2025-11-18 20:20:38.0880,0.089,-0.43,-0.881,0.984
2025-11-18 20:20:38.1020,0.079,-0.418,-0.895,0.991
2025-11-18 20:20:38.1070,0.072,-0.405,-0.918,1.006
2025-11-18 20:20:38.1190,0.07,-0.394,-0.946,1.027
2025-11-18 20:20:38.1270,0.075,-0.387,-0.962,1.04
2025-11-18 20:20:38.1390,0.078,-0.381,-0.963,1.039
2025-11-18 20:20:38.1470,0.079,-0.384,-0.953,1.03
2025-11-18 20:20:38.1580,0.074,-0.391,-0.945,1.025
2025-11-18 20:20:38.1660,0.067,-0.395,-0.932,1.014
2025-11-18 20:20:38.1780,0.06,-0.4,-0.915,1.0
2025-11-18 20:20:38.1860,0.052,-0.405,-0.899,0.987
2025-11-18 20:20:38.2030,0.053,-0.41,-0.883,0.975
2025-11-18 20:20:38.2060,0.044,-0.428,-0.88,0.98
2025-11-18 20:20:38.2160,0.044,-0.432,-0.876,0.978
2025-11-18 20:20:38.2270,0.036,-0.427,-0.865,0.965
2025-11-18 20:20:38.2360,0.022,-0.428,-0.863,0.964
2025-11-18 20:20:38.2470,0.016,-0.426,-0.872,0.971
2025-11-18 20:20:38.2580,0.012,-0.424,-0.877,0.974
2025-11-18 20:20:38.2670,0.014,-0.418,-0.887,0.981
2025-11-18 20:20:38.2780,0.009,-0.417,-0.901,0.993
2025-11-18 20:20:38.2870,-0.012,-0.412,-0.913,1.002
2025-11-18 20:20:38.3060,-0.031,-0.409,-0.913,1.001
2025-11-18 20:20:38.3070,-0.043,-0.411,-0.896,0.987
2025-11-18 20:20:38.3170,-0.051,-0.418,-0.875,0.971
2025-11-18 20:20:38.3270,-0.053,-0.429,-0.861,0.963
2025-11-18 20:20:38.3370,-0.05,-0.433,-0.859,0.963
2025-11-18 20:20:38.3470,-0.04,-0.435,-0.87,0.974
2025-11-18 20:20:38.3600,-0.037,-0.434,-0.891,0.992
2025-11-18 20:20:38.3680,-0.039,-0.429,-0.905,1.002
2025-11-18 20:20:38.3790,-0.044,-0.427,-0.909,1.005
2025-11-18 20:20:38.3870,-0.044,-0.434,-0.905,1.005
2025-11-18 20:20:38.4050,-0.041,-0.437,-0.901,1.002
2025-11-18 20:20:38.4080,-0.035,-0.441,-0.902,1.005
2025-11-18 20:20:38.4170,-0.028,-0.445,-0.897,1.002
2025-11-18 20:20:38.4280,-0.024,-0.445,-0.901,1.005
2025-11-18 20:20:38.4370,-0.024,-0.445,-0.906,1.01
2025-11-18 20:20:38.4480,-0.03,-0.439,-0.912,1.013
2025-11-18 20:20:38.4600,-0.04,-0.432,-0.918,1.015
2025-11-18 20:20:38.4680,-0.046,-0.427,-0.92,1.015
2025-11-18 20:20:38.4830,-0.053,-0.429,-0.909,1.007
2025-11-18 20:20:38.4880,-0.055,-0.432,-0.898,0.998
2025-11-18 20:20:38.5090,-0.051,-0.417,-0.866,0.963
2025-11-18 20:20:38.5090,-0.051,-0.417,-0.866,0.963
2025-11-18 20:20:38.5180,-0.093,-0.447,-0.87,0.983
2025-11-18 20:20:38.5290,-0.09,-0.451,-0.9,1.011
2025-11-18 20:20:38.5380,-0.058,-0.433,-0.873,0.976
2025-11-18 20:20:38.5480,-0.066,-0.443,-0.863,0.972
2025-11-18 20:20:38.5590,-0.063,-0.472,-0.88,1.001
2025-11-18 20:20:38.5680,-0.039,-0.463,-0.876,0.992
2025-11-18 20:20:38.5830,-0.035,-0.462,-0.886,1.0
2025-11-18 20:20:38.5890,-0.037,-0.461,-0.887,1.0
2025-11-18 20:20:38.6090,-0.033,-0.461,-0.878,0.992
2025-11-18 20:20:38.6090,-0.033,-0.461,-0.878,0.992
2025-11-18 20:20:38.6180,-0.024,-0.459,-0.879,0.992
2025-11-18 20:20:38.6290,-0.012,-0.455,-0.89,1.0
2025-11-18 20:20:38.6380,-0.003,-0.452,-0.9,1.007
2025-11-18 20:20:38.6490,0.003,-0.449,-0.897,1.003
2025-11-18 20:20:38.6610,0.001,-0.448,-0.892,0.998
2025-11-18 20:20:38.6690,-0.0,-0.44,-0.885,0.988
2025-11-18 20:20:38.6840,-0.003,-0.435,-0.887,0.988
2025-11-18 20:20:38.6890,-0.004,-0.43,-0.892,0.99
2025-11-18 20:20:38.7090,-0.005,-0.426,-0.89,0.987
2025-11-18 20:20:38.7090,-0.005,-0.426,-0.89,0.987
2025-11-18 20:20:38.7190,-0.004,-0.423,-0.882,0.978
2025-11-18 20:20:38.7290,-0.003,-0.421,-0.882,0.977
2025-11-18 20:20:38.7390,-0.004,-0.417,-0.884,0.977
2025-11-18 20:20:38.7490,-0.006,-0.417,-0.882,0.976
2025-11-18 20:20:38.7600,-0.013,-0.418,-0.878,0.973
2025-11-18 20:20:38.7690,-0.019,-0.42,-0.867,0.964
2025-11-18 20:20:38.7840,-0.027,-0.424,-0.857,0.957
2025-11-18 20:20:38.7890,-0.038,-0.43,-0.856,0.959
2025-11-18 20:20:38.8090,-0.058,-0.433,-0.857,0.962
2025-11-18 20:20:38.8100,-0.058,-0.433,-0.857,0.962
2025-11-18 20:20:38.8190,-0.063,-0.435,-0.853,0.96
2025-11-18 20:20:38.8300,-0.068,-0.437,-0.855,0.963
2025-11-18 20:20:38.8400,-0.074,-0.435,-0.856,0.963
2025-11-18 20:20:38.8500,-0.081,-0.434,-0.867,0.973
2025-11-18 20:20:38.8610,-0.088,-0.424,-0.88,0.981
2025-11-18 20:20:38.8700,-0.093,-0.418,-0.891,0.989
2025-11-18 20:20:38.8850,-0.094,-0.413,-0.899,0.994
2025-11-18 20:20:38.8900,-0.101,-0.41,-0.887,0.982
2025-11-18 20:20:38.9110,-0.103,-0.402,-0.903,0.994
2025-11-18 20:20:38.9110,-0.103,-0.402,-0.903,0.994
2025-11-18 20:20:38.9200,-0.062,-0.399,-0.911,0.996
2025-11-18 20:20:38.9300,-0.118,-0.416,-0.942,1.037
