time,gFx,gFy,gFz
2025-11-18 20:16:02.9960,0.118,-0.476,-0.862,0.992
2025-11-18 20:16:02.9970,0.118,-0.476,-0.862,0.992
2025-11-18 20:16:03.0070,0.125,-0.47,-0.89,1.014
2025-11-18 20:16:03.0160,0.122,-0.459,-0.909,1.026
2025-11-18 20:16:03.0270,0.115,-0.45,-0.924,1.034
2025-11-18 20:16:03.0400,0.108,-0.447,-0.923,1.031
2025-11-18 20:16:03.0470,0.105,-0.449,-0.914,1.024
2025-11-18 20:16:03.0670,0.11,-0.462,-0.88,1.0
2025-11-18 20:16:03.0670,0.11,-0.462,-0.88,1.0
2025-11-18 20:16:03.0770,0.108,-0.465,-0.873,0.995
2025-11-18 20:16:03.0870,0.1,-0.465,-0.874,0.995
2025-11-18 20:16:03.0970,0.092,-0.463,-0.88,0.999
2025-11-18 20:16:03.1070,0.081,-0.457,-0.886,1.0
2025-11-18 20:16:03.1170,0.073,-0.455,-0.895,1.007
2025-11-18 20:16:03.1270,0.067,-0.452,-0.9,1.009
2025-11-18 20:16:03.1430,0.065,-0.445,-0.905,1.011
2025-11-18 20:16:03.1470,0.066,-0.44,-0.908,1.011
2025-11-18 20:16:03.1700,0.077,-0.428,-0.908,1.007
2025-11-18 20:16:03.1700,0.077,-0.428,-0.908,1.007
2025-11-18 20:16:03.1770,0.084,-0.427,-0.906,1.005
2025-11-18 20:16:03.1880,0.088,-0.424,-0.904,1.002
2025-11-18 20:16:03.1970,0.09,-0.421,-0.899,0.997
2025-11-18 20:16:03.2080,0.092,-0.421,-0.896,0.994
2025-11-18 20:16:03.2180,0.098,-0.424,-0.892,0.992
2025-11-18 20:16:03.2280,0.103,-0.427,-0.887,0.99
2025-11-18 20:16:03.2430,0.114,-0.437,-0.879,0.988
2025-11-18 20:16:03.2480,0.13,-0.448,-0.87,0.987
2025-11-18 20:16:03.2710,0.143,-0.469,-0.848,0.98
2025-11-18 20:16:03.2710,0.143,-0.469,-0.848,0.98
2025-11-18 20:16:03.2780,0.144,-0.474,-0.84,0.975
2025-11-18 20:16:03.2900,0.141,-0.476,-0.839,0.975
2025-11-18 20:16:03.2980,0.137,-0.476,-0.839,0.974
2025-11-18 20:16:03.3080,0.135,-0.474,-0.842,0.976
2025-11-18 20:16:03.3180,0.138,-0.47,-0.851,0.982
2025-11-18 20:16:03.3280,0.143,-0.464,-0.863,0.99
2025-11-18 20:16:03.3430,0.144,-0.462,-0.875,1.0
2025-11-18 20:16:03.3480,0.139,-0.456,-0.88,1.001
2025-11-18 20:16:03.3700,0.117,-0.447,-0.877,0.991
2025-11-18 20:16:03.3700,0.117,-0.447,-0.877,0.991
2025-11-18 20:16:03.3780,0.107,-0.446,-0.866,0.98
2025-11-18 20:16:03.3900,0.097,-0.445,-0.855,0.969
2025-11-18 20:16:03.3980,0.088,-0.443,-0.848,0.961
2025-11-18 20:16:03.4080,0.063,-0.432,-0.83,0.938
2025-11-18 20:16:03.4190,0.058,-0.411,-0.823,0.922
2025-11-18 20:16:03.4290,0.034,-0.395,-0.835,0.924
2025-11-18 20:16:03.4440,0.014,-0.374,-0.828,0.909
2025-11-18 20:16:03.4490,0.002,-0.347,-0.86,0.927
2025-11-18 20:16:03.4700,-0.038,-0.32,-0.872,0.93
2025-11-18 20:16:03.4700,-0.038,-0.32,-0.872,0.93
2025-11-18 20:16:03.4790,-0.031,-0.307,-0.878,0.931
2025-11-18 20:16:03.4900,-0.033,-0.312,-0.887,0.941
2025-11-18 20:16:03.4990,-0.021,-0.338,-0.889,0.951
2025-11-18 20:16:03.5090,-0.105,-0.259,-0.892,0.935
2025-11-18 20:16:03.5190,-0.057,-0.149,-0.741,0.758
2025-11-18 20:16:03.5290,0.069,-0.434,-0.803,0.915
2025-11-18 20:16:03.5440,-0.051,-0.474,-0.942,1.056
2025-11-18 20:16:03.5490,0.059,-0.35,-0.826,0.899
2025-11-18 20:16:03.5720,0.031,-0.334,-0.957,1.014
2025-11-18 20:16:03.5730,0.031,-0.334,-0.957,1.014
2025-11-18 20:16:03.5790,0.006,-0.327,-0.906,0.963
2025-11-18 20:16:03.5900,0.094,-0.331,-0.847,0.914
2025-11-18 20:16:03.5990,0.162,-0.36,-0.886,0.97
2025-11-18 20:16:03.6090,0.163,-0.394,-0.939,1.031
2025-11-18 20:16:03.6210,0.183,-0.38,-0.949,1.039
2025-11-18 20:16:03.6300,0.197,-0.36,-0.95,1.035
2025-11-18 20:16:03.6440,0.183,-0.364,-0.969,1.051
2025-11-18 20:16:03.6500,0.177,-0.342,-0.988,1.06
2025-11-18 20:16:03.6720,0.177,-0.293,-1.01,1.066
2025-11-18 20:16:03.6720,0.177,-0.293,-1.01,1.066
2025-11-18 20:16:03.6790,0.155,-0.328,-1.09,1.149
2025-11-18 20:16:03.6910,0.218,-0.322,-1.023,1.094
2025-11-18 20:16:03.7000,0.254,-0.344,-0.899,0.996
2025-11-18 20:16:03.7100,0.306,-0.388,-0.898,1.025
2025-11-18 20:16:03.7220,0.332,-0.385,-0.89,1.025
2025-11-18 20:16:03.7300,0.318,-0.403,-0.895,1.032
2025-11-18 20:16:03.7450,0.276,-0.408,-0.907,1.032
2025-11-18 20:16:03.7500,0.262,-0.395,-0.899,1.016
2025-11-18 20:16:03.7720,0.17,-0.338,-0.937,1.011
2025-11-18 20:16:03.7720,0.17,-0.338,-0.937,1.011
2025-11-18 20:16:03.7800,0.123,-0.29,-0.954,1.005
2025-11-18 20:16:03.7910,0.136,-0.279,-0.932,0.982
2025-11-18 20:16:03.8000,0.201,-0.335,-0.865,0.949
2025-11-18 20:16:03.8100,0.172,-0.375,-0.9,0.99
2025-11-18 20:16:03.8220,0.073,-0.436,-0.963,1.06
2025-11-18 20:16:03.8300,0.058,-0.465,-0.946,1.056
2025-11-18 20:16:03.8450,0.092,-0.509,-0.994,1.121
2025-11-18 20:16:03.8500,0.175,-0.498,-1.119,1.237
2025-11-18 20:16:03.8720,0.198,-0.449,-1.003,1.117
2025-11-18 20:16:03.8730,0.198,-0.449,-1.003,1.117
2025-11-18 20:16:03.8800,0.179,-0.404,-0.944,1.042
2025-11-18 20:16:03.8910,0.105,-0.345,-0.916,0.984
2025-11-18 20:16:03.9000,-0.014,-0.315,-1.085,1.13
2025-11-18 20:16:03.9110,-0.096,-0.376,-1.151,1.215
2025-11-18 20:16:03.9220,-0.118,-0.44,-1.13,1.218
2025-11-18 20:16:03.9310,-0.092,-0.454,-1.068,1.164
2025-11-18 20:16:03.9460,-0.057,-0.455,-0.991,1.092
2025-11-18 20:16:03.9510,-0.027,-0.455,-0.911,1.019
2025-11-18 20:16:03.9730,0.063,-0.386,-0.851,0.937
2025-11-18 20:16:03.9730,0.063,-0.386,-0.851,0.937
2025-11-18 20:16:03.9810,0.14,-0.34,-0.826,0.904
2025-11-18 20:16:03.9910,0.232,-0.282,-0.788,0.868
2025-11-18 20:16:04.0010,0.288,-0.243,-0.769,0.856
2025-11-18 20:16:04.0110,0.29,-0.23,-0.759,0.844
2025-11-18 20:16:04.0230,0.268,-0.241,-0.737,0.82
2025-11-18 20:16:04.0310,0.276,-0.247,-0.666,0.762
2025-11-18 20:16:04.0460,0.301,-0.236,-0.585,0.699
2025-11-18 20:16:04.0510,0.337,-0.243,-0.547,0.687
2025-11-18 20:16:04.0730,0.357,-0.176,-0.655,0.766
2025-11-18 20:16:04.0730,0.357,-0.176,-0.655,0.766
2025-11-18 20:16:04.0810,0.377,-0.154,-0.743,0.847
2025-11-18 20:16:04.0920,0.404,-0.089,-0.861,0.955
2025-11-18 20:16:04.1010,0.4,-0.051,-0.973,1.053
2025-11-18 20:16:04.1110,0.433,-0.013,-1.036,1.123
2025-11-18 20:16:04.1230,0.455,0.017,-1.023,1.12
2025-11-18 20:16:04.1320,0.431,-0.005,-0.965,1.057
2025-11-18 20:16:04.1470,0.372,-0.019,-0.897,0.971
2025-11-18 20:16:04.1520,0.29,-0.016,-0.888,0.934
2025-11-18 20:16:04.1730,0.162,-0.011,-1.03,1.043
2025-11-18 20:16:04.1730,0.162,-0.011,-1.03,1.043
2025-11-18 20:16:04.1820,0.133,0.011,-1.096,1.104
2025-11-18 20:16:04.1920,0.105,0.016,-1.134,1.139
2025-11-18 20:16:04.2020,0.132,0.063,-1.139,1.148
2025-11-18 20:16:04.2120,0.174,0.101,-1.116,1.134
2025-11-18 20:16:04.2220,0.114,0.098,-1.106,1.116
2025-11-18 20:16:04.2320,0.062,0.101,-1.108,1.114
2025-11-18 20:16:04.2470,-0.003,0.067,-1.159,1.161
2025-11-18 20:16:04.2520,-0.072,0.056,-1.178,1.182
2025-11-18 20:16:04.2740,-0.048,0.093,-1.075,1.08
2025-11-18 20:16:04.2740,-0.048,0.093,-1.075,1.08
2025-11-18 20:16:04.2820,0.015,0.104,-0.981,0.987
2025-11-18 20:16:04.2920,0.09,0.069,-0.889,0.896
2025-11-18 20:16:04.3020,0.1,0.056,-0.849,0.857
2025-11-18 20:16:04.3120,0.085,0.084,-0.917,0.925
2025-11-18 20:16:04.3230,0.084,0.099,-1.045,1.053
2025-11-18 20:16:04.3330,0.06,0.084,-1.146,1.151
2025-11-18 20:16:04.3470,0.031,0.072,-1.19,1.193
2025-11-18 20:16:04.3530,0.029,0.104,-1.197,1.202
2025-11-18 20:16:04.3730,0.09,0.152,-1.197,1.21
2025-11-18 20:16:04.3730,0.09,0.152,-1.197,1.21
2025-11-18 20:16:04.3820,0.096,0.139,-1.15,1.162
2025-11-18 20:16:04.3920,0.075,0.096,-1.103,1.11
2025-11-18 20:16:04.4030,0.016,0.068,-1.053,1.055
2025-11-18 20:16:04.4130,-0.064,0.041,-1.005,1.008
2025-11-18 20:16:04.4240,-0.122,0.0,-0.968,0.976
2025-11-18 20:16:04.4330,-0.133,-0.039,-0.947,0.957
2025-11-18 20:16:04.4480,-0.122,-0.043,-0.948,0.957
2025-11-18 20:16:04.4530,-0.094,-0.025,-0.962,0.967
2025-11-18 20:16:04.4740,-0.012,0.01,-1.009,1.009
2025-11-18 20:16:04.4750,-0.012,0.01,-1.009,1.009
2025-11-18 20:16:04.4830,0.013,0.042,-1.027,1.028
2025-11-18 20:16:04.4930,-0.009,0.051,-1.037,1.038
2025-11-18 20:16:04.5030,-0.033,0.044,-1.039,1.04
2025-11-18 20:16:04.5130,-0.045,0.043,-1.026,1.028
2025-11-18 20:16:04.5240,-0.034,0.045,-0.997,0.999
2025-11-18 20:16:04.5330,-0.019,0.053,-0.936,0.938
2025-11-18 20:16:04.5480,-0.01,0.05,-0.87,0.871
2025-11-18 20:16:04.5530,0.016,0.068,-0.805,0.808
2025-11-18 20:16:04.5760,-0.068,-0.012,-0.748,0.751
2025-11-18 20:16:04.5760,-0.068,-0.012,-0.748,0.751
2025-11-18 20:16:04.5830,-0.076,-0.012,-0.805,0.809
2025-11-18 20:16:04.5930,-0.084,-0.052,-0.89,0.895
2025-11-18 20:16:04.6030,-0.092,-0.06,-0.947,0.953
2025-11-18 20:16:04.6140,-0.037,0.043,-1.046,1.048
2025-11-18 20:16:04.6240,0.006,0.052,-1.173,1.174
2025-11-18 20:16:04.6340,-0.034,0.063,-1.173,1.175
2025-11-18 20:16:04.6490,-0.017,0.099,-1.147,1.151
2025-11-18 20:16:04.6540,-0.002,0.103,-1.129,1.134
2025-11-18 20:16:04.6740,-0.053,0.126,-1.094,1.103
2025-11-18 20:16:04.6750,-0.053,0.126,-1.094,1.103
2025-11-18 20:16:04.6840,-0.053,0.135,-1.03,1.04
2025-11-18 20:16:04.6940,-0.026,0.14,-0.946,0.957
2025-11-18 20:16:04.7040,-0.002,0.135,-0.864,0.874
2025-11-18 20:16:04.7140,0.002,0.12,-0.799,0.808
2025-11-18 20:16:04.7240,-0.001,0.114,-0.764,0.772
2025-11-18 20:16:04.7340,-0.0,0.126,-0.756,0.766
2025-11-18 20:16:04.7490,0.011,0.144,-0.791,0.804
2025-11-18 20:16:04.7540,0.013,0.148,-0.866,0.879
2025-11-18 20:16:04.7750,-0.044,0.189,-0.925,0.945
2025-11-18 20:16:04.7750,-0.044,0.189,-0.925,0.945
2025-11-18 20:16:04.7840,-0.08,0.179,-0.91,0.931
2025-11-18 20:16:04.7940,-0.113,0.17,-0.885,0.908
2025-11-18 20:16:04.8040,-0.111,0.159,-0.872,0.893
2025-11-18 20:16:04.8140,-0.101,0.169,-0.877,0.899
2025-11-18 20:16:04.8240,-0.091,0.183,-0.875,0.899
2025-11-18 20:16:04.8350,-0.072,0.178,-0.843,0.865
2025-11-18 20:16:04.8500,-0.056,0.152,-0.787,0.803
2025-11-18 20:16:04.8550,-0.044,0.112,-0.738,0.748
2025-11-18 20:16:04.8750,-0.033,0.177,-0.623,0.648
2025-11-18 20:16:04.8750,-0.033,0.177,-0.623,0.648
2025-11-18 20:16:04.8850,-0.146,0.095,-0.615,0.639
2025-11-18 20:16:04.8950,-0.189,-0.01,-0.596,0.625
2025-11-18 20:16:04.9050,-0.21,-0.017,-0.546,0.585
2025-11-18 20:16:04.9150,-0.222,0.034,-0.51,0.557
2025-11-18 20:16:04.9250,-0.171,0.057,-0.528,0.558
2025-11-18 20:16:04.9350,-0.082,0.075,-0.589,0.599
2025-11-18 20:16:04.9500,-0.013,0.161,-0.613,0.634
2025-11-18 20:16:04.9550,0.051,0.269,-0.596,0.656
2025-11-18 20:16:04.9750,0.222,0.267,-0.588,0.683
2025-11-18 20:16:04.9750,0.222,0.267,-0.588,0.683
2025-11-18 20:16:04.9850,0.224,0.26,-0.571,0.666
2025-11-18 20:16:04.9950,0.203,0.245,-0.537,0.624
2025-11-18 20:16:05.0050,0.191,0.211,-0.513,0.587
2025-11-18 20:16:05.0160,0.188,0.216,-0.488,0.566
2025-11-18 20:16:05.0260,0.211,0.254,-0.493,0.593
