time,gFx,gFy,gFz
2025-11-18 20:20:33.4500,-0.184,-0.409,-0.79,0.908
2025-11-18 20:20:33.4500,-0.184,-0.409,-0.79,0.908
2025-11-18 20:20:33.4510,-0.184,-0.409,-0.79,0.908
2025-11-18 20:20:33.4510,-0.184,-0.409,-0.79,0.908
2025-11-18 20:20:33.4560,-0.16,-0.418,-0.726,0.853
2025-11-18 20:20:33.4730,-0.154,-0.402,-0.73,0.847
2025-11-18 20:20:33.4770,-0.164,-0.367,-0.795,0.891
2025-11-18 20:20:33.4870,-0.185,-0.338,-0.903,0.982
2025-11-18 20:20:33.5010,-0.199,-0.316,-1.014,1.081
2025-11-18 20:20:33.5060,-0.199,-0.306,-1.087,1.147
2025-11-18 20:20:33.5290,-0.213,-0.315,-1.104,1.168
2025-11-18 20:20:33.5290,-0.213,-0.315,-1.104,1.168
2025-11-18 20:20:33.5360,-0.211,-0.329,-1.042,1.113
2025-11-18 20:20:33.5470,-0.198,-0.352,-0.964,1.045
2025-11-18 20:20:33.5560,-0.184,-0.372,-0.894,0.986
2025-11-18 20:20:33.5670,-0.168,-0.374,-0.845,0.939
2025-11-18 20:20:33.5760,-0.149,-0.364,-0.832,0.92
2025-11-18 20:20:33.5860,-0.128,-0.341,-0.838,0.914
2025-11-18 20:20:33.6020,-0.105,-0.318,-0.87,0.932
2025-11-18 20:20:33.6060,-0.079,-0.306,-0.901,0.955
2025-11-18 20:20:33.6310,-0.071,-0.306,-0.962,1.012
2025-11-18 20:20:33.6310,-0.071,-0.306,-0.962,1.012
2025-11-18 20:20:33.6360,-0.09,-0.315,-1.016,1.068
2025-11-18 20:20:33.6500,-0.122,-0.317,-1.055,1.108
2025-11-18 20:20:33.6560,-0.149,-0.308,-1.076,1.129
2025-11-18 20:20:33.6660,-0.145,-0.3,-1.079,1.129
2025-11-18 20:20:33.6760,-0.125,-0.297,-1.071,1.118
2025-11-18 20:20:33.6860,-0.111,-0.298,-1.024,1.072
2025-11-18 20:20:33.7220,-0.042,-0.315,-0.895,0.95
2025-11-18 20:20:33.7220,-0.042,-0.315,-0.895,0.95
2025-11-18 20:20:33.7220,-0.042,-0.315,-0.895,0.95
2025-11-18 20:20:33.7250,-0.022,-0.323,-0.902,0.958
2025-11-18 20:20:33.7350,-0.029,-0.333,-0.903,0.963
2025-11-18 20:20:33.7460,-0.053,-0.357,-0.894,0.964
